iter	Passed	Remaining
437	1322	1697
438	1324	1692
439	1325	1687
440	1327	1682
441	1332	1682
442	1335	1679
443	1337	1674
444	1339	1670
445	1340	1665
446	1342	1660
447	1343	1655
448	1345	1650
449	1347	1646
450	1349	1642
451	1351	1638
452	1356	1638
453	1358	1634
454	1360	1629
455	1362	1625
456	1363	1620
457	1365	1615
458	1367	1611
459	1368	1606
460	1370	1602
461	1374	1600
462	1378	1598
463	1383	1598
464	1386	1595
465	1388	1590
466	1390	1586
467	1392	1582
468	1398	1583
469	1400	1579
470	1402	1574
471	1403	1570
472	1405	1565
473	1406	1560
474	1408	1556
475	1412	1555
476	1415	1552
477	1417	1548
478	1421	1546
479	1422	1541
480	1424	1537
481	1426	1532
482	1427	1528
483	1429	1523
484	1430	1519
485	1432	1514
486	1433	1510
487	1435	1505
488	1440	1504
489	1441	1500
490	1442	1495
491	1444	1491
492	1445	1486
493	1447	1482
494	1448	1478
495	1450	1473
496	1455	1472
497	1456	1468
498	1458	1464
499	1460	1460
500	1461	1456
501	1463	1451
502	1464	1447
503	1469	1446
504	1471	1442
505	1473	1438
506	1475	1434
507	1477	1430
508	1479	1426
509	1484	1426
510	1486	1422
511	1488	1418
512	1489	1414
513	1491	1409
514	1492	1405
515	1494	1401
516	1499	1400
517	1502	1398
518	1504	1394
519	1508	1392
520	1509	1387
521	1515	1387
522	1516	1383
523	1517	1378
524	1519	1374
525	1521	1370
526	1522	1366
527	1523	1362
528	1525	1358
529	1527	1354
530	1528	1350
531	1529	1345
532	1532	1342
533	1533	1338
534	1534	1334
535	1536	1330
536	1541	1329
537	1543	1325
538	1545	1321
539	1547	1317
540	1548	1313
541	1550	1309
542	1555	1308
543	1556	1305
544	1559	1301
545	1562	1298
546	1564	1295
547	1566	1291
548	1571	1290
549	1574	1287
550	1576	1284
551	1578	1281
552	1581	1278
553	1588	1278
554	1590	1274
555	1594	1273
556	1597	1270
557	1599	1267
558	1601	1263
559	1602	1259
560	1604	1255
561	1605	1251
562	1606	1247
563	1608	1243
564	1613	1242
565	1614	1238
566	1616	1234
567	1617	1230
568	1619	1226
569	1620	1222
570	1622	1218
571	1627	1217
572	1628	1213
573	1630	1210
574	1632	1206
575	1634	1203
576	1636	1199
577	1638	1196
578	1640	1192
579	1642	1189
580	1643	1185
581	1645	1181
582	1647	1178
583	1648	1174
584	1653	1173
585	1655	1169
586	1656	1165
587	1658	1161
588	1659	1158
589	1661	1154
590	1662	1150
591	1664	1147
592	1670	1146
593	1671	1142
594	1672	1138
595	1674	1135
596	1675	1131
597	1677	1127
598	1678	1123
599	1680	1120
600	1684	1118
601	1687	1115
602	1689	1112
603	1690	1108
604	1696	1107
605	1697	1103
606	1699	1100
607	1700	1096
608	1702	1092
609	1703	1089
610	1705	1085
611	1710	1084
612	1712	1081
613	1713	1077
614	1715	1074
615	1717	1070
616	1718	1066
617	1720	1063
618	1724	1061
619	1726	1058
620	1727	1054
621	1729	1051
622	1731	1047
623	1732	1044
624	1734	1040
625	1735	1036
626	1740	1035
627	1742	1032
628	1744	1028
629	1745	1025
630	1746	1021
631	1748	1018
632	1749	1014
633	1751	1011
634	1757	1010
635	1759	1006
636	1760	1003
637	1762	999
638	1763	996
639	1764	992
640	1766	989
641	1772	988
642	1774	985
643	1779	983
644	1788	984
645	1790	981
646	1792	977
647	1794	974
648	1795	971
649	1796	967
650	1802	966
651	1803	962
652	1805	959
653	1806	955
654	1808	952
655	1809	949
656	1811	945
657	1812	942
658	1814	938
659	1816	935
660	1817	932
661	1819	928
662	1820	925
663	1822	921
664	1823	918
665	1828	917
666	1830	913
667	1831	910
668	1832	906
669	1834	903
670	1835	900
671	1837	896
672	1838	893
673	1844	892
674	1846	888
675	1847	885
676	1849	882
677	1850	878
678	1851	875
679	1853	872
680	1858	870
681	1860	867
682	1864	865
683	1865	861
684	1867	858
685	1872	857
686	1874	853
687	1875	850
688	1877	847
689	1879	844
690	1881	841
691	1883	838
692	1888	836
693	1890	833
694	1893	830
695	1895	827
696	1897	824
697	1902	823
698	1904	820
699	1906	817
700	1908	813
701	1909	810
702	1911	807
703	1912	804
704	1913	800
705	1918	799
706	1920	795
707	1922	792
708	1924	789
709	1926	786
710	1928	783
711	1933	782
712	1936	779
713	1938	776
714	1940	773
715	1942	770
716	1948	768
717	1949	765
718	1951	762
719	1953	759
720	1954	756
721	1955	753
722	1957	749
723	1962	748
724	1965	745
725	1970	743
726	1973	741
727	1975	738
728	1977	735
729	1980	732
730	1981	729
731	1983	726
732	1984	722
733	1986	719
734	1987	716
735	1989	713
736	1990	710
737	1992	707
738	1994	704
739	1995	701
740	2000	699
741	2002	696
742	2003	692
743	2005	689
744	2006	686
745	2008	683
746	2009	680
747	2011	677
748	2016	675
749	2018	672
750	2019	669
751	2021	666
752	2022	663
753	2023	660
754	2025	657
755	2030	655
756	2031	652
757	2034	649
758	2037	646
759	2039	644
760	2041	641
761	2043	638
762	2048	636
763	2051	633
764	2057	631
765	2058	628
766	2060	625
767	2061	622
768	2063	619
769	2064	616
770	2066	613
771	2071	611
772	2072	608
773	2074	605
774	2075	602
775	2077	599
776	2079	596
777	2080	593
778	2085	591
779	2087	588
780	2088	585
781	2090	582
782	2091	579
783	2093	576
784	2094	573
785	2096	570
786	2101	568
787	2103	565
788	2104	562
789	2106	559
790	2107	556
791	2108	553
792	2110	550
793	2115	548
794	2117	545
795	2118	542
796	2120	539
797	2121	537
798	2122	534
799	2124	531
800	2125	528
801	2131	526
802	2132	523
803	2134	520
804	2135	517
805	2137	514
806	2138	511
807	2140	508
808	2145	506
809	2148	503
810	2150	501
811	2153	498
812	2155	495
813	2156	492
814	2158	489
815	2159	487
816	2161	484
817	2163	481
818	2164	478
819	2166	475
820	2167	472
821	2172	470
822	2174	467
823	2175	464
824	2177	461
825	2179	459
826	2180	456
827	2182	453
828	2187	451
829	2189	448
830	2192	445
831	2196	443
832	2202	441
833	2204	438
834	2206	435
835	2207	433
836	2208	430
837	2210	427
838	2211	424
839	2213	421
840	2216	419
841	2218	416
842	2220	413
843	2222	410
844	2224	408
845	2229	405
846	2232	403
847	2234	400
848	2238	398
849	2240	395
850	2245	393
851	2247	390
852	2249	387
853	2251	384
854	2253	382
855	2254	379
856	2259	376
857	2260	374
858	2262	371
859	2263	368
860	2265	365
861	2266	362
862	2268	360
863	2269	357
864	2275	355
865	2276	352
866	2278	349
867	2279	346
868	2281	343
869	2282	341
870	2284	338
871	2289	336
872	2290	333
873	2292	330
874	2294	327
875	2295	324
876	2297	322
877	2298	319
878	2299	316
879	2305	314
880	2307	311
881	2308	308
882	2310	306
883	2311	303
884	2313	300
885	2314	297
886	2315	295
887	2318	292
888	2320	289
889	2324	287
890	2326	284
891	2327	281
892	2333	279
893	2335	276
894	2337	274
895	2339	271
896	2341	268
897	2348	266
898	2350	264
899	2352	261
900	2354	258
901	2355	255
902	2357	253
903	2363	250
904	2364	248
905	2368	245
906	2369	243
907	2371	240
908	2373	237
909	2378	235
910	2380	232
911	2381	229
912	2383	227
913	2384	224
914	2386	221
915	2387	218
916	2395	216
917	2397	214
918	2398	211
919	2401	208
920	2402	206
921	2410	203
922	2412	201
923	2418	198
924	2425	196
925	2429	194
926	2432	191
927	2434	188
928	2441	186
929	2443	183
930	2448	181
931	2449	178
932	2457	176
933	2459	173
934	2462	171
935	2465	168
936	2472	166
937	2480	163
938	2481	161
939	2491	159
940	2493	156
941	2506	154
942	2510	151
943	2521	149
944	2523	146
945	2527	144
946	2530	141
947	2533	138
948	2535	136
949	2546	134
950	2549	131
951	2556	128
952	2563	126
953	2565	123
954	2572	121
955	2574	118
956	2578	115
957	2581	113
958	2589	110
959	2591	107
960	2593	105
961	2596	102
962	2606	100
963	2608	97
964	2630	95
965	2637	92
966	2638	90
967	2640	87
968	2642	84
969	2651	82
970	2654	79
971	2657	76
972	2658	73
973	2661	71
974	2667	68
975	2669	65
976	2670	62
977	2672	60
978	2674	57
979	2675	54
980	2681	51
981	2683	49
982	2685	46
983	2687	43
984	2689	40
985	2691	38
986	2705	35
987	2707	32
988	2712	30
989	2714	27
990	2715	24
991	2717	21
992	2719	19
993	2721	16
994	2722	13
995	2728	10
996	2730	8
997	2731	5
998	2733	2
999	2734	0
